source,target,length,name,highway,oneway
114,184,119.54,Laurel Avenue,unclassified,0
115,9732,128.73,Cambridge Street,tertiary,0
115,332,69.57,Ermin Garcia Street,residential,0
115,341,226.61,Cambridge Street,tertiary,0
115,727,61.76,Ermin Garcia Street,residential,0
116,702,75.72,Aguho Street,residential,1
116,699,230.42,Almon Street,tertiary,1
116,688,53.03,Aguho Street,residential,0
116,100,56.31,Narra Street,tertiary,0
116,106,69.91,Narra Street,tertiary,0
117,9351,71.92,Katipunan Avenue,primary,1
118,123,347.74,J. Escaler Street,residential,0
118,9579,283.09,Katipunan Avenue,primary,1
119,10058,104.97,Esteban Abada Street,residential,0
119,9579,158.25,B. Gonzales Street,residential,0
119,125,118.21,B. Gonzales Street,residential,0
119,2798,606.28,Esteban Abada Street,residential,0
120,467,131.01,M. Jocson Street,residential,0
121,168,17.92,Katipunan Avenue,primary,1
121,12270,30.76,Aurora Boulevard,primary,1
122,13606,28.41,Rosa Alvero Street,residential,0
122,9603,161.07,Rosa Alvero Street,residential,0
122,13601,190.95,B. Gonzales Street,residential,0
122,470,118.89,B. Gonzales Street,residential,0
123,118,347.74,J. Escaler Street,residential,0
123,118,150.92,Katipunan Avenue,primary,1
124,70,131.12,Xavierville Avenue,secondary,0
124,1774,108.86,Katipunan Avenue,primary,1
125,11508,104.18,C. Salvador Street,residential,0
125,127,80.75,C. Salvador Street,residential,0
125,119,118.21,B. Gonzales Street,residential,0
125,463,128.12,B. Gonzales Street,residential,0
126,2797,15.36,A. Melchor Street,residential,0
126,10108,107.02,M. V. del Rosario Street,residential,0
126,128,70.27,A. Melchor Street,residential,0
127,10108,177.72,N. Reyes Street,residential,0
127,125,80.75,C. Salvador Street,residential,0
127,13598,302.6,C. Salvador Street,residential,0
128,2798,104.88,Esteban Abada Street,residential,0
128,13603,106.21,A. Melchor Street,residential,0
128,126,70.27,A. Melchor Street,residential,0
129,9601,72.78,A. Melchor Street,residential,0
129,13603,47.53,A. Melchor Street,residential,0
129,9600,72.39,M. Jocson Street,residential,0
130,11397,71.58,C. Salvador Street,residential,0
130,131,131.41,C. Salvador Street,residential,0
131,130,269.89,Regidor Street,residential,1
131,130,131.41,C. Salvador Street,residential,0
131,161,133.5,C. Salvador Street,residential,0
132,550,102.33,Tom Castro Street,tertiary,0
132,1286,33.17,Jose P. Rizal Street,tertiary,0
132,1284,112.11,Jose P. Rizal Street,tertiary,0
133,70,251.94,Xavierville Avenue,secondary,0
133,469,264.75,Xavierville Avenue,secondary,0
133,464,74.56,B. Gonzales Street,residential,0
133,9202,103.98,B. Gonzales Street,residential,0
134,7923,138.22,Leland Drive,residential,0
134,8255,90.56,Quirino Highway,primary,0
134,8048,134.82,Quirino Highway,primary,0
135,10944,57.77,Aguinaldo Street,residential,0
135,11408,311.02,Harding Rosas,residential,0
135,8709,42.05,,residential,0
136,8352,158.65,,primary_link,1
136,7921,346.93,,trunk_link,1
137,12082,7.31,Quirino Highway,primary,1
137,8302,301.43,Baesa Road,tertiary,0
137,8310,34.83,Quirino Highway,primary,0
138,7741,10.63,Matalino Street,tertiary,0
138,2918,86.21,Matalino Street,tertiary,0
138,11000,165.98,Kalayaan Avenue,secondary,1
139,8610,85.3,Quirino Highway,primary,1
140,13092,22.43,,primary_link,1
140,9622,337.96,,motorway_link,1
141,2529,14.1,Jose P. Rizal Street,tertiary,0
141,2532,164.82,Aurora Boulevard,primary,1
142,7963,59.89,Tandang Sora Avenue,secondary,0
142,10222,218.48,Casanova Drive,residential,0
142,9473,84.17,Tandang Sora Avenue,secondary,0
143,1503,25.73,Gregorio Araneta Avenue,primary,1
143,7304,250.69,Quezon Avenue,primary_link,1
144,13345,229.15,Quezon Avenue,primary,1
144,7687,134.95,Scout Chuatoco Street,secondary,0
145,8057,48.97,Scout Tobias Street,tertiary,0
145,8049,121.47,Scout Chuatoco Street,tertiary,0
145,11165,52.95,Doña Hemady Street,tertiary,0
146,1025,10.68,Scout Tobias Street,tertiary,0
146,1042,227.42,Don Alejandro Roces Avenue,secondary,1
146,362,47.72,Scout Tobias Street,tertiary,0
147,11972,8.41,Kamias Street Extension,tertiary,0
147,504,70.45,Langka Street,tertiary,0
147,11101,81.51,Kamias Street Extension,residential,0
148,11632,89.0,Battalion Street,residential,0
148,11639,126.95,San Mateo Road,primary,1
148,6779,8.03,Dakila Street,residential,0
149,2763,9.08,Acacia Street,tertiary,0
149,9043,70.06,San Mateo Road,primary,1
149,5056,99.49,Acacia Street,tertiary,0
150,11957,16.08,Colossians Street,residential,0
150,151,209.52,Commonwealth Avenue,primary,1
151,1664,14.86,Commonwealth Avenue,primary,1
151,2796,78.42,Mindanao Avenue,tertiary,1
152,11615,8.4,IBP Road,primary,1
153,12003,15.78,Regalado Avenue,secondary,1
153,13358,94.82,Commonwealth Avenue,primary,1
154,3523,57.32,Matalino Street,tertiary,0
154,7726,36.34,Matalino Street,tertiary,0
154,2964,282.96,Malakas Street,tertiary,0
155,1531,70.61,Magalang Street,residential,0
155,3529,165.4,Malakas Street,tertiary,0
155,9106,177.81,Malakas Street,tertiary,0
156,2875,98.48,Masikap Street Extension,residential,1
156,2918,63.46,Matalino Street,tertiary,0
156,2824,147.55,Matalino Street,tertiary,0
157,9319,168.25,Malakas Street,tertiary,0
157,3529,255.06,Malakas Street,tertiary,0
157,3526,38.73,V. Luna Road,secondary,0
157,2485,75.77,V. Luna Road,secondary,0
158,2846,66.09,Anonas Street Extension,tertiary,0
158,2568,68.41,Anonas Street Extension,tertiary,0
158,2564,231.97,Matipid Street,residential,1
159,7744,10.87,V. Luna Road,secondary,0
159,2843,81.23,V. Luna Road,secondary,0
159,2563,276.91,Kalayaan Avenue,secondary,1
160,7737,11.85,V. Luna Road,secondary,0
160,3526,162.02,V. Luna Road,secondary,0
160,2825,323.6,East Avenue,primary,1
161,11508,68.22,C. Salvador Street,residential,0
161,13587,62.43,Fabian de la Rosa Street,residential,0
161,13352,8.87,Fabian de la Rosa Street,residential,0
161,131,133.5,C. Salvador Street,residential,0
162,7396,112.7,A. Maria Regidor Street,unclassified,0
162,10858,144.95,Shuster Street,unclassified,1
162,10100,29.38,A. Maria Regidor Street,unclassified,0
163,10099,136.49,M. Roxas Avenue,tertiary,1
164,29,17.6,Emilio Jacinto Street,residential,0
164,163,213.15,University Avenue,tertiary,1
164,223,203.95,Emilio Jacinto Street,unclassified,0
165,10934,338.72,University Avenue,tertiary,1
165,10824,407.07,Carlos P. Garcia Avenue,secondary,0
165,53,17.84,Carlos P. Garcia Avenue,secondary,0
166,43,61.33,EDSA,primary,1
166,1859,16.52,EDSA,primary,0
167,11363,22.27,Palanza Street,tertiary,0
167,2017,66.59,Palanza Street,tertiary,0
167,2394,230.72,Rosa Roxas Street,residential,0
168,76,32.05,,primary,1
168,13073,56.3,Katipunan Avenue,primary,1
169,30,141.52,Rosa Alvero Street,residential,0
169,8755,58.43,Katipunan Avenue,primary,1
170,7506,12.4,EDSA,primary,1
170,11982,47.59,Aurora Boulevard,primary,1
171,2528,92.7,V. Luna Road,secondary,0
171,173,74.4,V. Luna Road,secondary,0
171,2817,414.46,Malumanay Street,residential,0
172,9960,14.74,Masaya Street,tertiary,0
172,9413,66.49,Maharlika Street,residential,1
173,171,74.4,V. Luna Road,secondary,0
173,7744,85.19,V. Luna Road,secondary,0
