id_hash,source_lat,source_lon,target_lat,target_lon,source,target,road_name
np3w5p,14.6146532,121.0705914,14.6145763,121.07016,32,10893,Colonel Bonny Serrano Avenue
fhjw0r,14.6151175,121.0746538,14.6144519,121.0747982,33,10239,E. Rodriguez Jr. Avenue
t8vei8,14.6323201,121.0776521,14.6324764,121.0754836,34,495,Marcos Highway
83kuw9,14.6093639,121.0766579,14.6085692,121.0773845,35,8035,E. Rodriguez Jr. Avenue
bvdemp,14.6273771,121.0620623,14.6270084,121.0613199,36,395,Aurora Boulevard
4yrfmo,14.6494052,121.0477284,14.6490675,121.0481509,37,10028,Elliptical Road
u0el57,14.6535903,121.0742817,14.6525831,121.0742996,38,13612,"Residential Road (38, 13612)"
ir33qn,14.6546178,121.0350919,14.6545175,121.035069,39,2533,Mindanao Avenue
4n7z7,14.6546178,121.0350919,14.6551098,121.032873,39,12531,"Residential Road (39, 12531)"
ir33qn,14.6611033,121.036506,14.6593423,121.0361532,40,7420,Mindanao Avenue
pxpemt,14.6472663,121.0602408,14.6471743,121.0604847,41,10107,Carlos P. Garcia Avenue
pxpemt,14.6472496,121.0678673,14.6479838,121.0659836,42,9604,Carlos P. Garcia Avenue
ra62r4,14.6472496,121.0678673,14.6472033,121.068968,42,224,Carlos P. Garcia Avenue
lnzxl1,14.5937043,121.0588375,14.5939703,121.0589336,43,8151,EDSA
xqsspa,14.6306965,121.0456745,14.6304582,121.0448457,44,45,Kamuning Road
g1fcpp,14.6306965,121.0456745,14.630804,121.0460206,44,10121,"Kamias Road, Kamuning Road"
kyqwyz,14.6306965,121.0456745,14.629316,121.0463201,44,8452,EDSA
xqsspa,14.6304582,121.0448457,14.6306965,121.0456745,45,44,Kamuning Road
bc2ya6,14.628555,121.0470307,14.630804,121.0460206,46,10121,EDSA
2812hz,14.628555,121.0470307,14.6351585,121.0435568,46,7673,EDSA
wqqi5f,14.6330079,121.0445936,14.6331536,121.0448912,51,2800,"Primary Road (51, 2800)"
unk0sd,14.6330079,121.0445936,14.632551,121.0448471,51,7424,EDSA
n1ayjp,14.6327556,121.0451156,14.633502,121.0451558,52,2765,"Primary Link Road (52, 2765)"
1h1zvl,14.6327556,121.0451156,14.6331536,121.0448912,52,2800,EDSA
cxv9v5,14.6548924,121.0584215,14.6552973,121.0557616,53,10162,University Avenue
x4tmsu,14.704652,121.0821882,14.7043515,121.0832236,54,60,Commonwealth Avenue
dc662d,14.7035506,121.0845881,14.700998,121.0865187,55,4889,Commonwealth Avenue
ovtgrn,14.7073813,121.0636143,14.7067709,121.0643072,56,4533,Commonwealth Avenue
xymjot,14.7142386,121.0933359,14.7137857,121.0944137,59,57,Payatas Road
x4tmsu,14.7043515,121.0832236,14.7041731,121.0835947,60,4890,Commonwealth Avenue
wyx8bv,14.7008171,121.0885158,14.7007282,121.0884299,61,10528,Payatas Road
c8ipep,14.6049763,121.0701396,14.606697,121.0703517,67,1985,Katipunan Avenue
c8ipep,14.6049763,121.0701396,14.602291,121.0691309,67,1941,Katipunan Avenue
h6e4fb,14.619109,121.0435303,14.6188713,121.0431327,68,11083,Aurora Boulevard
tubc2b,14.6341111,121.0729669,14.6347974,121.0707356,70,133,Xavierville Avenue
jtmlfi,14.6341111,121.0729669,14.6338012,121.0741428,70,124,Xavierville Avenue
xfvrhx,14.6110588,121.0708437,14.6082563,121.0705382,71,12839,"Residential Road (71, 12839)"
2vucvm,14.6237414,121.074347,14.6245119,121.0748582,72,7532,Major S. Dizon Street
varr6s,14.6237414,121.074347,14.6275925,121.0742358,72,751,Katipunan Avenue
oyztk8,14.6151627,121.0368981,14.6158532,121.0364595,74,577,Doña Hemady Street
z6lsnt,14.6151627,121.0368981,14.6138851,121.0346595,74,75,Aurora Boulevard
pymehd,14.6138851,121.0346595,14.6126741,121.0323848,75,91,Aurora Boulevard
clnfip,14.6317342,121.0743251,14.6319065,121.074334,76,746,Katipunan Avenue
hcytyt,14.6317342,121.0743251,14.6318146,121.0744739,76,12460,"Residential Road (76, 12460)"
dl8m8j,14.6325141,121.0758115,14.6323519,121.0772868,77,7674,Marcos Highway
xr1egn,14.6335595,121.0591403,14.6332745,121.0592506,80,83,Anonas Street
xr1egn,14.6335595,121.0591403,14.6339702,121.0590069,80,316,Anonas Street
tjb6kw,14.6332046,121.0543392,14.633739,121.0541882,81,2563,Kalayaan Avenue
bjuucq,14.6332046,121.0543392,14.633876,121.0565849,81,2454,Kamias Road
hg7nc4,14.6332046,121.0543392,14.6325515,121.0520719,81,497,Kamias Road
k502y0,14.6285807,121.06302,14.6292214,121.0624496,82,84,Anonas Street
k502y0,14.6285807,121.06302,14.628006,121.0632064,82,12464,"Residential Road (82, 12464)"
xr1egn,14.6332745,121.0592506,14.6335595,121.0591403,83,80,Anonas Street
xr1egn,14.6332745,121.0592506,14.6328274,121.0596963,83,501,Anonas Street
k502y0,14.6292214,121.0624496,14.629608,121.0618817,84,2561,Anonas Street
k502y0,14.6292214,121.0624496,14.6285807,121.06302,84,82,Anonas Street
k502y0,14.6299795,121.0616301,14.6303914,121.061399,85,512,Anonas Street
k502y0,14.6299795,121.0616301,14.629608,121.0618817,85,2561,Anonas Street
bvdemp,14.6277985,121.0632222,14.6273771,121.0620623,86,36,Aurora Boulevard
