id_hash,source_lat,source_lon,target_lat,target_lon,road_name,highway_type,source,target
jezyyx,14.6224433,121.0264195,14.6222497,121.0265365,E. Rodriguez Sr. Avenue,secondary,93,11067
wwi3ir,14.6224433,121.0264195,14.6223567,121.026126,,,93,11068
xeln5w,14.6224433,121.0264195,14.6229476,121.0280265,E. Rodriguez Sr. Avenue,secondary,93,1092
88txje,14.6117781,121.0359115,14.6127592,121.0383649,N. Domingo Street,primary,94,1093
q3oo8f,14.6117781,121.0359115,14.6110991,121.0333408,N. Domingo Street,secondary,94,97
hb9ma8,14.6117781,121.0359115,14.6112815,121.0361566,Senator Jose O. Vera Street,primary,94,1097
jaklst,14.7352905,121.0590524,14.7347812,121.0563575,Quirino Highway,primary,96,265
xh8blf,14.6110991,121.0333408,14.6099684,121.0347058,Valencia Street,residential,97,1096
z4ewvb,14.6110991,121.0333408,14.6118389,121.0328593,Broadway Avenue,tertiary,97,1094
q3oo8f,14.6110991,121.0333408,14.6117781,121.0359115,N. Domingo Street,secondary,97,94
6efvw5,14.634357,121.0619897,14.6324816,121.0600654,Chico Street,secondary,98,90
6efvw5,14.634357,121.0619897,14.6357375,121.0639437,Chico Street,secondary,98,251
x9mcmm,14.6200931,121.0594963,14.6198042,121.0586468,Pedro Tuazon Boulevard,secondary,99,1298
3tbg0d,14.6200931,121.0594963,14.6180513,121.0604844,15th Avenue,secondary,99,2946
bylr9a,14.6200931,121.0594963,14.6203079,121.0601767,Pedro Tuazon Boulevard,secondary,99,3137
owfw9m,14.6575654,121.0742237,14.6575633,121.0740987,,,101,12811
fx1u,14.6575654,121.0742237,14.6575699,121.0745141,Magsaysay Avenue,unclassified,101,8407
u0el57,14.6575654,121.0742237,14.6550232,121.074236,Katipunan Avenue,primary,101,8067
hg7nc4,14.6318953,121.0498081,14.6325515,121.0520719,Kamias Road,secondary,102,497
hg7nc4,14.6318953,121.0498081,14.6311855,121.0473446,Kamias Road,secondary,102,498
hd112s,14.6561265,121.0685919,14.6549972,121.064311,Osmeña Avenue,tertiary,104,26
ev2ghk,14.6393331,121.054832,14.6361718,121.0545444,Kalayaan Avenue,secondary,107,159
b5hwmz,14.6412587,121.0546535,14.6393331,121.054832,Kalayaan Avenue,secondary,109,107
1pwugr,14.6284967,121.0554626,14.6268657,121.056246,15th Avenue,tertiary,113,356
3k9nls,14.6284967,121.0554626,14.6284231,121.0547493,,,113,9957
sem8f5,14.6411853,121.074538,14.640539,121.0745138,Katipunan Avenue,primary,117,9349
pycz4o,14.6449853,121.0744723,14.6424481,121.0745932,Katipunan Avenue,primary,118,9577
cyjjhk,14.6317615,121.0740667,14.6316004,121.0740613,Katipunan Avenue,primary,121,168
hzmvg0,14.6317615,121.0740667,14.631631,121.0738146,,,121,12268
pycz4o,14.6463319,121.0742967,14.6449853,121.0744723,Katipunan Avenue,primary,123,118
jtmlfi,14.6338012,121.0741428,14.6341111,121.0729669,Xavierville Avenue,secondary,124,70
cyjjhk,14.6338012,121.0741428,14.6328232,121.0740977,Katipunan Avenue,primary,124,1774
pylg9h,14.6212776,121.072057,14.6209217,121.0729341,Tom Castro Street,tertiary,132,550
tubc2b,14.6347974,121.0707356,14.6341111,121.0729669,Xavierville Avenue,secondary,133,70
tubc2b,14.6347974,121.0707356,14.6355054,121.0683862,Xavierville Avenue,secondary,133,469
b5hwmz,14.6455864,121.0530027,14.6442621,121.0537121,,,138,10998
op6iin,14.6294506,121.0693075,14.6288116,121.0679253,Aurora Boulevard,primary,141,2532
me9aya,14.669213,121.0538765,14.6689109,121.0543374,Tandang Sora Avenue,secondary,142,7963
me9aya,14.669213,121.0538765,14.669632,121.0532248,Tandang Sora Avenue,secondary,142,9471
jzrlz8,14.628314,121.0134664,14.6298845,121.015126,Quezon Avenue,primary_link,143,7304
1tjxk0,14.6305057,121.0158131,14.6317267,121.0175271,,,144,13342
yztq06,14.6305057,121.0158131,14.6302306,121.0170348,Scout Chuatoco Street,secondary,144,7687
wxqdx8,14.6275667,121.0292689,14.6279967,121.0293671,Scout Tobias Street,tertiary,145,8057
2i12sa,14.6275667,121.0292689,14.6278013,121.0281663,Scout Chuatoco Street,tertiary,145,8049
inm3ma,14.6296523,121.0297457,14.6295586,121.0297238,Scout Tobias Street,tertiary,146,1025
ny3npi,14.6296523,121.0297457,14.6300986,121.0276829,Don Alejandro Roces Avenue,secondary,146,1042
o0y6s2,14.7228148,121.0507977,14.7213605,121.0520364,Commonwealth Avenue,primary,150,151
2r032a,14.6915154,121.0960077,14.6914629,121.0959516,,,152,11613
yhjp7s,14.7064238,121.0694319,14.7065657,121.0694289,,,153,12001
jigejh,14.7064238,121.0694319,14.7064185,121.0703134,,,153,13355
