source_lat,source_lon,target_lat,target_lon,source,target,road_name,speed_kph,freeFlow_kph,jamFactor,isClosed,segmentLength,oneway
14.661103,121.036506,14.661286,121.035677,40,12094,Road 8,50.000000,50,1.000000,False,91.480000,0
14.661103,121.036506,14.659342,121.036153,40,7420,Mindanao Avenue,50.000000,50,1.000000,False,199.520000,1
14.647266,121.060241,14.647397,121.060085,41,6997,Carlos P. Garcia Avenue,50.000000,50,1.000000,False,22.170000,0
14.647266,121.060241,14.647103,121.060131,41,11973,Magiting Street,50.000000,50,1.000000,False,21.700000,1
14.647266,121.060241,14.647174,121.060485,41,10109,Carlos P. Garcia Avenue,50.000000,50,1.000000,False,28.310000,0
14.647250,121.067867,14.644689,121.069763,42,10944,Aguinaldo Street,50.000000,50,1.000000,False,369.820000,0
14.647250,121.067867,14.647984,121.065984,42,9606,Carlos P. Garcia Avenue,50.000000,50,1.000000,False,220.040000,0
14.647250,121.067867,14.647203,121.068968,42,224,Carlos P. Garcia Avenue,50.000000,50,1.000000,False,119.050000,0
14.593704,121.058838,14.593970,121.058934,43,8151,EDSA,38.697959,50,2.753499,False,31.330000,1
14.630696,121.045674,14.630458,121.044846,44,45,Kamuning Road,50.000000,50,1.000000,False,93.020000,0
14.630696,121.045674,14.630804,121.046021,44,10123,"['Kamuning Road', 'Kamias Road']",50.000000,50,1.000000,False,39.110000,0
14.630696,121.045674,14.629316,121.046320,44,8452,EDSA,50.000000,50,1.000000,False,168.500000,1
14.630458,121.044846,14.629927,121.045004,45,628,K-F Street,50.000000,50,1.000000,False,61.490000,0
14.630458,121.044846,14.630446,121.044802,45,10069,Kamuning Road,42.132696,50,2.525040,False,4.850000,0
14.630458,121.044846,14.630696,121.045674,45,44,Kamuning Road,50.000000,50,1.000000,False,93.020000,0
14.628542,121.047001,14.630804,121.046021,46,10123,EDSA,50.000000,50,1.000000,False,273.520000,1
14.628542,121.047001,14.635158,121.043557,46,7673,EDSA,28.582699,50,4.670584,False,826.240000,1
14.599636,121.059824,14.600054,121.061717,47,13079,White Plains Avenue,50.000000,50,1.000000,False,208.980000,1
14.599636,121.059824,14.599763,121.059811,47,12436,EDSA,50.000000,50,1.000000,False,14.250000,1
14.631450,121.044373,14.631278,121.043776,48,656,Scout Fuentebella Extension,50.000000,50,1.000000,False,67.070000,0
14.631450,121.044373,14.632595,121.041444,48,9949,Scout Rallos Extension,50.000000,50,1.000000,False,361.780000,1
14.630866,121.041026,14.631389,121.041152,49,665,11th Jamboree Street,50.000000,50,1.000000,False,59.730000,0
14.630866,121.041026,14.630661,121.040976,49,671,11th Jamboree Street,50.000000,50,1.000000,False,23.380000,0
